dataset,epoch,seed,method,role,report,amortized_ms_per_record,amortized_records_per_second,auc,auc_ci_high,auc_ci_low,calibrated_actual_fpr_at_10pct,calibrated_actual_fpr_at_10pct_ci_high,calibrated_actual_fpr_at_10pct_ci_low,calibrated_actual_fpr_at_1pct,calibrated_actual_fpr_at_1pct_ci_high,calibrated_actual_fpr_at_1pct_ci_low,calibrated_tpr_at_10pct,calibrated_tpr_at_10pct_ci_high,calibrated_tpr_at_10pct_ci_low,calibrated_tpr_at_1pct,calibrated_tpr_at_1pct_ci_high,calibrated_tpr_at_1pct_ci_low,calibration_seconds,draft_input_tokens,draft_input_tokens_per_record,draft_sequences,draft_sequences_per_record,execution_group,execution_group_seconds,generated_tokens,generated_tokens_per_record,n_calibration,n_test_member,n_test_nonmember,pauc_10_normalized,pauc_10_raw,peak_allocated_gpu_bytes,preparation_seconds,roc_actual_fpr_at_10pct,roc_actual_fpr_at_1pct,roc_tpr_at_10pct_fpr,roc_tpr_at_1pct_fpr,scoring_records_per_second,target_forward_calls,target_input_tokens,target_input_tokens_per_record,target_sequences,target_sequences_per_record,test_seconds,total_seconds
newstection,3,1949,ws,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/ws/REPORT.json,2065.1571816875075,0.48422464346411986,0.49106025,0.509010790625,0.4743864875,0.1115,0.1260459412042156,0.0984436045333179,0.007,0.011715862563394297,0.0041743460559210965,0.112,0.12657186967421372,0.09891575901603857,0.0125,0.018388039710650523,0.008481081388571086,392.91097971983254,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/ws,,2125035,531.25875,200,2000,2000,0.049037500000000005,0.004903750000000001,17149372928,5.133799951523542,0.1,0.01,0.107,0.0145,0.5087386064076544,268800,2363132,590.783,8400,2.1,7862.583947078674,8260.62872675003
newstection,3,1949,rs,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/rs/REPORT.json,2057.8416655107576,0.4859460359656968,0.514935375,0.534056934375,0.49620174375000003,0.089,0.10228002687162495,0.07729578599356494,0.025,0.032806771413197815,0.019014423503992475,0.087,0.10015700783763422,0.07542647321668068,0.029,0.03730545692281039,0.022500401616129873,391.56898886943236,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/rs,,2125310,531.3275,200,2000,2000,0.05101249999999996,0.005101249999999996,17145489920,5.37307002034504,0.1,0.01,0.0955,0.014,0.5105671702284368,268800,2363771,590.94275,8400,2.1,7834.424603153253,8231.36666204303
newstection,3,1949,bt,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/bt/REPORT.json,3079.70195032502,0.32470674634422464,0.516992125,0.531929303125,0.499313496875,0.0635,0.0750467261459507,0.053626856130583093,0.009,0.014182040701612969,0.005700499728577407,0.08,0.09271074519851809,0.06889957451773436,0.0145,0.020746775563306317,0.01011467734679028,583.5313192122849,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/bt,,2930341,732.58525,200,2000,2000,0.06419499999999999,0.006419499999999999,17145489920,5.67235972546041,0.1,0.01,0.123,0.0145,0.3410174766575501,403099,3505550,876.3875,12600,3.15,11729.604122362332,12318.807801300078
newstection,3,1949,samia,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/samia/REPORT.json,3211.72028450048,0.3113596177182443,0.56524425,0.582275384375,0.54920784375,0.1085,0.12288852080081825,0.09561252722040278,0.026,0.033935273144663027,0.019882087677964753,0.16,0.17671653985586086,0.14458705229539107,0.025,0.032806771413197815,0.019014423503992475,610.9057594218757,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/samia,,10287455,2571.86375,200,2000,2000,0.061972499999999986,0.006197249999999999,24014666240,3.0492321592755616,0.1,0.01,0.1395,0.0115,0.3269863605912769,134400,11877230,2969.3075,42000,10.5,12232.926146420767,12846.881138001918
newstection,3,1949,draft_auxiliary_distilled,main,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/draft_auxiliary_distilled/fixed/main_fixed_sparse_positive/REPORT.json,426.7187093505054,2.343464155865271,0.9994985,0.9997804812500001,0.99919159375,0.0755,0.08790997859899309,0.06471759454279065,0.021,0.028263010469622922,0.015573520825817387,1.0,0.9999999999999998,0.9980829527187469,0.9985,0.9994897364163615,0.9955989674442294,73.12280747084878,2449969,612.49225,4600,1.15,newstection/epoch3/seed1949/draft_auxiliary_distilled/fixed,1706.8748374020215,0,0.0,200,2000,2000,0.9949849999999999,0.09949849999999999,21482550784,155.13402696268167,0.1,0.01,1.0,0.9865,2.7052287960579084,4600,2449969,612.49225,4600,1.15,1478.618002968491,1706.8748374020215
newstection,3,1949,draft_member_sft,main,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/draft_member_sft/fixed/main_fixed_sparse_positive/REPORT.json,430.3557821492723,2.32365879925169,0.998297,0.9989523874999999,0.9975262687500001,0.101,0.11498046280503259,0.08854934092540727,0.011,0.016599446829747115,0.007275425411318251,0.9995,0.9999117322692944,0.9971731374967338,0.9645,0.971760123769736,0.95545893930598,73.43329024175182,2449969,612.49225,4600,1.15,newstection/epoch3/seed1949/draft_member_sft/fixed,1721.423128597089,0,0.0,200,2000,2000,0.9832125000000036,0.09832125000000036,21482550784,156.18459440942388,0.1,0.01,0.9995,0.9605,2.6813151490336384,4600,2449969,612.49225,4600,1.15,1491.8052439459134,1721.423128597089
newstection,3,1978,loss,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1978/baseline/loss/REPORT.json,78.35163929572445,12.76297482718487,0.83508325,0.8461039875,0.82485058125,0.112,0.12657186967421372,0.09891575901603857,0.0015,0.004401032555770693,0.0005102635836384819,0.5205,0.5423343770767923,0.49858702398467614,0.039,0.04840608504391829,0.03136143254939691,14.498463119496591,0,0.0,0,0.0,newstection/epoch3/seed1978/baseline/loss,,0,0.0,200,2000,2000,0.21549000000000007,0.02154900000000001,17326028800,0.07232878601644188,0.1,0.01,0.483,0.058,13.385278687399172,4200,2235926,558.9815,4200,1.05,298.8357652773848,313.4065571828978
newstection,3,1978,min_k_prob,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1978/baseline/min_k_prob/REPORT.json,79.00807748900843,12.65693371844315,0.87765175,0.88676190625,0.8689087437499999,0.108,0.12236197087545578,0.0951409941930465,0.0025,0.005839153316432755,0.0010683087284139143,0.656,0.6765023346684419,0.6348995465798072,0.045,0.05499069598122689,0.03675381704471326,14.98198605782818,0,0.0,0,0.0,newstection/epoch3/seed1978/baseline/min_k_prob,,0,0.0,200,2000,2000,0.2981525,0.02981525,17326028800,0.06822448375169188,0.1,0.01,0.6325,0.061,13.289826895957624,4200,2235926,558.9815,4200,1.05,300.98209941445384,316.0323099560337
newstection,3,1978,min_k_pp,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1978/baseline/min_k_pp/REPORT.json,79.15379617898725,12.63363285493902,0.983653,0.9865772,0.98022694375,0.1605,0.1772358013670915,0.14506587373687918,0.006,0.010458448336941664,0.003435594376936234,0.9965,0.9983035683029576,0.9927928037467583,0.4235,0.44528144757088445,0.40201186066314715,14.997941218898632,0,0.0,0,0.0,newstection/epoch3/seed1978/baseline/min_k_pp,,0,0.0,200,2000,2000,0.8464075000000006,0.08464075000000007,17326028800,0.07468341081403196,0.1,0.01,0.9865,0.6185,13.265125821230887,4200,2235926,558.9815,4200,1.05,301.54256008623634,316.615184715949
newstection,3,1978,recall,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1978/baseline/recall/REPORT.json,401.1900454937713,2.4925842782794705,0.9266145,0.93369624375,0.92014053125,0.099,0.11286795942594038,0.08666951249362448,0.005,0.009179695949941846,0.0027181808584985597,0.7175,0.7367997193237364,0.6973663651089185,0.1445,0.1605909023129494,0.12977211830402138,76.22523702157196,0,0.0,0,0.0,newstection/epoch3/seed1978/baseline/recall,,0,0.0,200,2000,2000,0.46224,0.046224,17384913920,0.0712095940252766,0.1,0.01,0.727,0.22,2.6170068072038473,8400,13636252,3409.063,8400,2.1,1528.463735359488,1604.7601819750853
